Trace,Exp,Core_0_IPC,Filter
437.leslie3d-271B,spp_MTPS1200,1.07354,1
437.leslie3d-271B,bingo_MTPS1200,1.0252,1
437.leslie3d-271B,mlop_MTPS1200,0.99904,1
437.leslie3d-271B,pythia_MTPS1200,1.12123,1
437.leslie3d-271B,nopref_MTPS4800,0.60189,1
437.leslie3d-271B,spp_MTPS4800,1.07853,1
437.leslie3d-271B,bingo_MTPS4800,1.06824,1
437.leslie3d-271B,mlop_MTPS4800,1.00938,1
437.leslie3d-271B,pythia_MTPS4800,1.12864,1
437.leslie3d-271B,nopref_MTPS9600,0.60197,1
437.leslie3d-271B,spp_MTPS9600,1.07852,1
437.leslie3d-271B,bingo_MTPS9600,1.06873,1
437.leslie3d-271B,mlop_MTPS9600,1.0097,1
437.leslie3d-271B,pythia_MTPS9600,1.12892,1
445.gobmk-30B,nopref,0.37578,1
445.gobmk-30B,spp,0.37704,1
445.gobmk-30B,bingo,0.37868,1
445.gobmk-30B,mlop,0.37749,1
445.gobmk-30B,pythia,0.37845,1
445.gobmk-30B,nopref_MTPS150,0.30993,1
445.gobmk-30B,spp_MTPS150,0.31082,1
445.gobmk-30B,bingo_MTPS150,0.31023,1
445.gobmk-30B,mlop_MTPS150,0.31042,1
445.gobmk-30B,pythia_MTPS150,0.31196,1
445.gobmk-30B,nopref_MTPS300,0.34258,1
445.gobmk-30B,spp_MTPS300,0.34366,1
445.gobmk-30B,bingo_MTPS300,0.34427,1
445.gobmk-30B,mlop_MTPS300,0.34378,1
445.gobmk-30B,pythia_MTPS300,0.34497,1
445.gobmk-30B,nopref_MTPS600,0.36009,1
445.gobmk-30B,spp_MTPS600,0.36126,1
445.gobmk-30B,bingo_MTPS600,0.36255,1
445.gobmk-30B,mlop_MTPS600,0.36161,1
445.gobmk-30B,pythia_MTPS600,0.36262,1
445.gobmk-30B,nopref_MTPS1200,0.36983,1
445.gobmk-30B,spp_MTPS1200,0.37105,1
445.gobmk-30B,bingo_MTPS1200,0.37262,1
445.gobmk-30B,mlop_MTPS1200,0.37149,1
445.gobmk-30B,pythia_MTPS1200,0.37243,1
445.gobmk-30B,nopref_MTPS4800,0.3791,1
445.gobmk-30B,spp_MTPS4800,0.38038,1
445.gobmk-30B,bingo_MTPS4800,0.38201,1
445.gobmk-30B,mlop_MTPS4800,0.38084,1
445.gobmk-30B,pythia_MTPS4800,0.38176,1
445.gobmk-30B,nopref_MTPS9600,0.37995,1
445.gobmk-30B,spp_MTPS9600,0.38123,1
445.gobmk-30B,bingo_MTPS9600,0.38286,1
445.gobmk-30B,mlop_MTPS9600,0.3817,1
445.gobmk-30B,pythia_MTPS9600,0.38264,1
445.gobmk-36B,nopref,0.37997,1
445.gobmk-36B,spp,0.38122,1
445.gobmk-36B,bingo,0.38281,1
445.gobmk-36B,mlop,0.38189,1
445.gobmk-36B,pythia,0.3825,1
445.gobmk-36B,nopref_MTPS150,0.31318,1
445.gobmk-36B,spp_MTPS150,0.31393,1
445.gobmk-36B,bingo_MTPS150,0.31094,1
445.gobmk-36B,mlop_MTPS150,0.31043,1
445.gobmk-36B,pythia_MTPS150,0.31475,1
445.gobmk-36B,nopref_MTPS300,0.34619,1
445.gobmk-36B,spp_MTPS300,0.34724,1
445.gobmk-36B,bingo_MTPS300,0.3469,1
445.gobmk-36B,mlop_MTPS300,0.34621,1
445.gobmk-36B,pythia_MTPS300,0.34841,1
445.gobmk-36B,nopref_MTPS600,0.36394,1
445.gobmk-36B,spp_MTPS600,0.36508,1
445.gobmk-36B,bingo_MTPS600,0.36624,1
445.gobmk-36B,mlop_MTPS600,0.36537,1
445.gobmk-36B,pythia_MTPS600,0.3663,1
445.gobmk-36B,nopref_MTPS1200,0.3739,1
445.gobmk-36B,spp_MTPS1200,0.3751,1
445.gobmk-36B,bingo_MTPS1200,0.37663,1
445.gobmk-36B,mlop_MTPS1200,0.37571,1
445.gobmk-36B,pythia_MTPS1200,0.37634,1
445.gobmk-36B,nopref_MTPS4800,0.38334,1
445.gobmk-36B,spp_MTPS4800,0.38463,1
445.gobmk-36B,bingo_MTPS4800,0.3862,1
445.gobmk-36B,mlop_MTPS4800,0.3853,1
445.gobmk-36B,pythia_MTPS4800,0.38591,1
445.gobmk-36B,nopref_MTPS9600,0.38419,1
445.gobmk-36B,spp_MTPS9600,0.38549,1
445.gobmk-36B,bingo_MTPS9600,0.38703,1
445.gobmk-36B,mlop_MTPS9600,0.38614,1
445.gobmk-36B,pythia_MTPS9600,0.38674,1
450.soplex-247B,nopref,0.28131,1
450.soplex-247B,spp,0.33427,1
450.soplex-247B,bingo,0.37206,1
450.soplex-247B,mlop,0.33203,1
450.soplex-247B,pythia,0.38698,1
450.soplex-247B,nopref_MTPS150,0.11782,1
450.soplex-247B,spp_MTPS150,0.10179,1
450.soplex-247B,bingo_MTPS150,0.07167,1
450.soplex-247B,mlop_MTPS150,0.08452,1
450.soplex-247B,pythia_MTPS150,0.10057,1
450.soplex-247B,nopref_MTPS300,0.19006,1
450.soplex-247B,spp_MTPS300,0.17992,1
450.soplex-247B,bingo_MTPS300,0.13338,1
450.soplex-247B,mlop_MTPS300,0.15259,1
450.soplex-247B,pythia_MTPS300,0.18303,1
450.soplex-247B,nopref_MTPS600,0.24475,1
450.soplex-247B,spp_MTPS600,0.26117,1
450.soplex-247B,bingo_MTPS600,0.22074,1
450.soplex-247B,mlop_MTPS600,0.2349,1
450.soplex-247B,pythia_MTPS600,0.28097,1
450.soplex-247B,nopref_MTPS1200,0.27144,1
450.soplex-247B,spp_MTPS1200,0.314,1
450.soplex-247B,bingo_MTPS1200,0.3151,1
450.soplex-247B,mlop_MTPS1200,0.30192,1
450.soplex-247B,pythia_MTPS1200,0.35701,1
450.soplex-247B,nopref_MTPS4800,0.28478,1
450.soplex-247B,spp_MTPS4800,0.34149,1
450.soplex-247B,bingo_MTPS4800,0.39248,1
450.soplex-247B,mlop_MTPS4800,0.34198,1
450.soplex-247B,pythia_MTPS4800,0.39335,1
450.soplex-247B,nopref_MTPS9600,0.28575,1
450.soplex-247B,spp_MTPS9600,0.34321,1
450.soplex-247B,bingo_MTPS9600,0.39488,1
450.soplex-247B,mlop_MTPS9600,0.34416,1
450.soplex-247B,pythia_MTPS9600,0.39047,1
459.GemsFDTD-765B,nopref,0.5122,1
459.GemsFDTD-765B,spp,0.7055,1
459.GemsFDTD-765B,bingo,0.68792,1
459.GemsFDTD-765B,mlop,0.72077,1
459.GemsFDTD-765B,pythia,0.71947,1
459.GemsFDTD-765B,nopref_MTPS150,0.38659,1
