Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Filter
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_4T,mlop,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_4T,pythia,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M_4T,nopref,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M_4T,spp,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M_4T,bingo,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M_4T,mlop,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M_4T,pythia,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,nopref,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,spp,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,bingo,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,mlop,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,pythia,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_4T,nopref,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_4T,spp,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_4T,bingo,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_4T,mlop,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_4T,pythia,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,nopref,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,spp,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,bingo,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,mlop,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,pythia,0,0,0,0,0
ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M_4T,nopref,0,0,0,0,0
ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M_4T,spp,0,0,0,0,0
ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M_4T,bingo,0,0,0,0,0
ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M_4T,mlop,0,0,0,0,0
ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M_4T,pythia,0,0,0,0,0
ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_2500M.length_250M_4T,nopref,0,0,0,0,0
ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_2500M.length_250M_4T,spp,0,0,0,0,0
ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_2500M.length_250M_4T,bingo,0,0,0,0,0
ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_2500M.length_250M_4T,mlop,0,0,0,0,0
ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_2500M.length_250M_4T,pythia,0,0,0,0,0
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_22750M.length_250M_4T,nopref,0,0,0,0,0
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_22750M.length_250M_4T,spp,0,0,0,0,0
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_22750M.length_250M_4T,bingo,0,0,0,0,0
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_22750M.length_250M_4T,mlop,0,0,0,0,0
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_22750M.length_250M_4T,pythia,0,0,0,0,0
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,nopref,0,0,0,0,0
ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,spp,0,0,0,0,0
